"filename", "language", "XML", "C++", "JSON", "Log", "CMake Cache", "CMake", "C", "comment", "blank", "total"
"/Users/season/Projects/cplusplus/Projects/Project5/cmake-build-debug/Project5_autogen/EWIEGA46WW/moc_userwindow.cpp", "C++", 0, 75, 0, 0, 0, 0, 0, 8, 16, 99
"/Users/season/Projects/cplusplus/Projects/Project5/cmake-build-debug/Project5_autogen/KRKR4BN5RM/moc_mainwindow.cpp", "C++", 0, 100, 0, 0, 0, 0, 0, 10, 17, 127
"/Users/season/Projects/cplusplus/Projects/Project5/cmake-build-debug/Project5_autogen/KRKR4BN5RM/moc_userwindow.cpp", "C++", 0, 75, 0, 0, 0, 0, 0, 8, 16, 99
"/Users/season/Projects/cplusplus/Projects/Project5/cmake-build-debug/Project5_autogen/include/UI/ui_MainWindow.h", "C++", 0, 33, 0, 0, 0, 0, 0, 7, 13, 53
"/Users/season/Projects/cplusplus/Projects/Project5/cmake-build-debug/Project5_autogen/include/UI/ui_userwindow.h", "C++", 0, 48, 0, 0, 0, 0, 0, 7, 13, 68
"/Users/season/Projects/cplusplus/Projects/Project5/cmake-build-debug/Project5_autogen/include/ui_MainWindow.h", "C++", 0, 33, 0, 0, 0, 0, 0, 7, 13, 53
"/Users/season/Projects/cplusplus/Projects/Project5/cmake-build-debug/Project5_autogen/include/ui_userwindow.h", "C++", 0, 48, 0, 0, 0, 0, 0, 7, 13, 68
"/Users/season/Projects/cplusplus/Projects/Project5/cmake-build-debug/Project5_autogen/moc_predefs.h", "C++", 0, 385, 0, 0, 0, 0, 0, 0, 1, 386
"/Users/season/Projects/cplusplus/Projects/Project5/cmake-build-debug/Project5_autogen/mocs_compilation.cpp", "C++", 0, 2, 0, 0, 0, 0, 0, 1, 1, 4
"/Users/season/Projects/cplusplus/Projects/Project5/cmake-build-debug/Testing/Temporary/LastTest.log", "Log", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/season/Projects/cplusplus/Projects/Project5/cmake-build-debug/cmake_install.cmake", "CMake", 0, 0, 0, 0, 0, 42, 0, 0, 8, 50
"/Users/season/Projects/cplusplus/Projects/Project5/global.h", "C++", 0, 17, 0, 0, 0, 0, 0, 3, 7, 27
"/Users/season/Projects/cplusplus/Projects/Project5/main.cpp", "C++", 0, 12, 0, 0, 0, 0, 0, 5, 5, 22
"/Users/season/Projects/cplusplus/Projects/Project5/tools.cpp", "C++", 0, 37, 0, 0, 0, 0, 0, 12, 8, 57
"Total", "-", 114, 1866, 7822, 291, 1030, 196, 615, 256, 717, 12907
